datetime,game,result,jackpot,winners,latest
2021-10-04T17:00,11,6-0-0,4500.00,179,false
2021-10-04T21:00,11,3-3-5,4500.00,146,false
2021-10-04T14:00,12,12-21,4000.00,226,false
2021-10-04T17:00,12,25-05,4000.00,112,false
2021-10-04T21:00,12,22-21,4000.00,96,false
2021-10-03T21:00,5,06-17-31-08-13-05,155093968.80,0,false
2021-10-03T21:00,7,22-14-34-26-23-05,59135096.00,0,false
2021-10-03T14:00,11,7-2-9,4500.00,422,false
2021-10-03T17:00,11,5-1-9,4500.00,296,false
2021-10-03T21:00,11,0-6-2,4500.00,131,false
2021-10-03T14:00,12,04-27,4000.00,256,false
2021-10-03T17:00,12,28-27,4000.00,88,false
2021-10-03T21:00,12,27-04,4000.00,132,false
2021-10-02T21:00,8,10-24-35-12-55-42,39540863.20,0,false
2021-10-02T21:00,1,16-12-04-36-22-17,5940000.00,0,false
2021-10-02T21:00,9,6-1-7-5-5-0,927479.34,0,false
2021-10-02T14:00,11,3-9-8,4500.00,181,false
2021-10-02T17:00,11,6-5-5,4500.00,97,false
2021-10-02T21:00,11,6-4-7,4500.00,217,false
2021-10-02T14:00,12,16-25,4000.00,131,false
2021-10-02T17:00,12,10-04,4000.00,273,false
2021-10-02T21:00,12,01-07,4000.00,575,false
2021-10-01T21:00,5,18-49-23-22-19-47,148944172.40,0,false
2021-10-01T21:00,6,09-13-29-30-10-19,8910000.00,1,false
2021-10-01T21:00,10,7-3-5-1,49674.00,13,false
2021-10-01T14:00,11,1-1-8,4500.00,770,false
2021-10-01T17:00,11,9-5-4,4500.00,207,false
2021-10-01T21:00,11,3-4-0,4500.00,212,false
2021-10-01T14:00,12,27-11,4000.00,102,false
2021-10-01T17:00,12,07-15,4000.00,159,false
2021-10-01T21:00,12,10-20,4000.00,624,false
